person_name,title,seniority,years_at_company,company,company_linkedin_id,person_linkedin_url,location,headline
Panagiota Makri,"Head of Team Site Quality Microbiology, Biopharma Quality Austria",Director,3,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAABMaL4UBdG6kcy6MzmgcWPXmILA6_RBMr0o,,"Head of Site Quality Microbiology, Biopharma Quality Austria, Boehringer Ingelheim RCV"
Goran Vuk Grujicic,Deputy Head of Unit Production,Director,2,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAACpyG0sBHOdN2LQsxKXKZcnZYh429tVUNZY,,Deputy Head of Unit Production | Boehringer Ingelheim | 🟢 Biopharma manufacturing | Downstream processing | Compliance |
Clemens Heissenberger,Head of Unit Plant Engineering Microbials,Director,3,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAAC9C-wEBfkwfXr6iOdUHZFjPkmMmt96aEVQ,,Head of Unit Plant Engineering Microbials - Boehringer Ingelheim RCV
Oskar Boeck,Head Facility Engineering & Utilities,Director,5,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAAAI5iegBnognRPRTWMiaHlFQMuWPp4kU-UM,,Head Facility Engineering & Utilities at Boehringer Ingelheim
Harry Quendler,Head of Unit Production (Downstream),Director,7,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAAANGOWYBz2hFeMc9BFw0UWYH1TxmmOSCF50,,Head of Unit Production (Downstream) at Boehringer Ingelheim
Peter Kaluscha,Head of Unit Quality Operations,Director,5,Boehringer Ingelheim,3235,https://www.linkedin.com/in/ACoAABN8uB4BbDzQoG0r57Spp9F7yIaaEUlI29M,,"Head of QA in Operations at Boehringer Ingelheim | Leadership, Empowerment and Mentorship 🟢 Life forward - Develop your "
Frank Hamhuis,Director Operations | Deputy VP BU Specialities,Vice President,0,CARBOGEN AMCIS,140405,https://www.linkedin.com/in/ACoAAAUVK4gB-4PqnZ9xRiinFJzDTcFtj0OwaBo,,Director Operations CARBOGEN AMCIS BV
Heilam Wong (Harry),General Manager,Director,3,CARBOGEN AMCIS,140405,https://www.linkedin.com/in/ACoAAAKOGLsBpYj4iPSsq0XunfgYHK5wXJHFHJU,,"General Manager, CARBOGEN AMCIS Shanghai"
Julie Pagenaud,Director of Pharmaceutical Operations,Director,3,CARBOGEN AMCIS,140405,https://www.linkedin.com/in/ACoAAAKO8J4ByyqwFZ_Sb1zrvR5kDadlcG6Tedw,,Head of Pharmaceutical  Operations
James Tomlinson,Site Lead/Country Manager for the UK,Director,2,CARBOGEN AMCIS,140405,https://www.linkedin.com/in/ACoAAA-iBcYBmXDjAVwmKMnr3--vIc5rBOETQEI,,Site Lead/Country UK Manager
Damien Bray MIET,Head of Engineering,Director,3,CARBOGEN AMCIS,140405,https://www.linkedin.com/in/ACoAADpAbvIBeOlt_wcsA9LTVQIWHIVFYCvDZKA,,head of engineering at carbogen amcis
Mohan Murthy,Head of Manufacturing Compliance ,Director,0,CARBOGEN AMCIS,140405,https://www.linkedin.com/in/ACoAAD2JLxoBaIvSIqtwW51J13mZz-Jq5C7mwdU,,Head of Manufacturing Compliance(QA)  at CARBOGEN AMCIS
Carl Baker,Site Director,Director,5,CARBOGEN AMCIS,140405,https://www.linkedin.com/in/ACoAAAKt5uMBxYOBOtEWhk1ta2VKTHYWun_PPLE,,Vice President Drug Substance
Barbara Carl,Head of Production,Director,1,CARBOGEN AMCIS,140405,https://www.linkedin.com/in/ACoAABRoFNAB5uUtNAzeS8U7qM46qsW6x7mNpl0,,Manager Production bei CARBOGEN AMCIS
Robert Rhodes,Director Operations,Director,11,CARBOGEN AMCIS,140405,https://www.linkedin.com/in/ACoAAAHVjhsBFNtD26xD4nFZPVMnn3MNit1d-Nk,,Director Operations Carbogen Amcis Limited
Jessica Huang,Head of M&A; Site SAP Project Lead,Director,3,CARBOGEN AMCIS,140405,https://www.linkedin.com/in/ACoAACYY1FgB_Vv1-RQTMvtzfRip1NqM8SFw6rE,,"Head of M&A, Site SAP Project Lead"
Patrick Gay,Manager PR&D & Vionnaz site lead,Director,4,CARBOGEN AMCIS,140405,https://www.linkedin.com/in/ACoAAAFi_H8B-oEOyav33NUZ95IrjL7vbjTzdrE,,Manager PR&D & Vionnaz site Manager chez CARBOGEN AMCIS
Arne Schmitz,Director Manufacturing Drug Substance,Director,1,CARBOGEN AMCIS,140405,https://www.linkedin.com/in/ACoAAFKWca0B1eTDNRX2z6gFux7-fiVwyy6_Mu8,,Director Manufacturing Drug Substance bei CARBOGEN AMCIS
Stefan Arts,General Manager and Vice President Specialties,Vice President,0,CARBOGEN-AMCIS BV,,https://www.linkedin.com/in/ACoAAAg6IhoB8G4dY68GK_yFyAAJG3eUByNZEwA,,General Manager at CARBOGEN-AMCIS BV
Anja Paschold,Director Cell Manufacturing Plant B,Director,2,Cellex Cell Professionals,13073361,https://www.linkedin.com/in/ACoAABNtqmMBoMcMZl70vAvqv_027S1_zEMbSj0,,Senior Director Cell Manufacturing Plant
Jessica Malcev,Head of Manufacturing,Director,2,Cellex Cell Professionals,13073361,https://www.linkedin.com/in/ACoAAC5QqMgBeB9vVUvfANa2H3BmLBZ4FQVOEho,,Biomedical Scientist
Maximilian Henze,Head of Manufacturing,Director,6,Cellex Cell Professionals,13073361,https://www.linkedin.com/in/ACoAADSQvTQBMENcfHfuUiewHU7gUpu05gRqan4,,Production Planner & Head of Manufacturing bei Cellex Manufacturing Transports and Logistics GmbH
Mira Gregor,Senior Specialist/ Head of Manufacturing & Operations Progamm Manager,Director,5,Cellex Cell Professionals,13073361,https://www.linkedin.com/in/ACoAAEeEClsBR-B301VfMTKE-kUOGVBJ7AIhuuU,,--
Margaux Berg,Head of Manufacturing,Director,0,Cellex Cell Professionals,13073361,https://www.linkedin.com/in/ACoAADDkMxwB8f75zIdKrF3cPVHjK4JS1rQ5DBQ,,licensed pharmacist / quality in healthcare
Jani Åman,Head of Manufacturing,Director,1,Cellex Cell Professionals,13073361,https://www.linkedin.com/in/ACoAAC-1y6wBUuAUoq5NiS4vGQdE79Es5S24iEQ,,"Head of Manufacturing, Cellex Cell Professionals | Master of Science"
Lukas Letmathe,Head of Manufacturing,Director,4,Cellex Cell Professionals,13073361,https://www.linkedin.com/in/ACoAADQezqcBPBh7dc1_GHjLiIefjCDyrVftpS4,,Manufacturing of CAR-T Cells
"Mona Tabel, PhD",Head of Manufacturing,Director,2,Cellex Cell Professionals,13073361,https://www.linkedin.com/in/ACoAADKvNwwBeVT9if4FKZX2KkEvdgWZ5frmhok,,Head of manufacturing
Sharmilla R.,Senior specialist manufacturing / Head of Manufacturing,Director,6,Cellex Cell Professionals,13073361,https://www.linkedin.com/in/ACoAADLnHycBB_QfbSBpZwXVoL-bJayrU92djQo,,Senior Specialist & Head of  CAR-T Manufacturing bei Cellex Cell Professionals
Dr. Anna-Lene Kiffe-Delf,Head of Manufacturing,Director,1,Cellex Cell Professionals,13073361,https://www.linkedin.com/in/ACoAAC5pZdEBfHynVXOibFS3WesOZ7q6pBfeBag,,Process Lead
Ruth Murphy,Director Strategic Manufacturing Solutions,Director,0,Celonic Group,560173,https://www.linkedin.com/in/ACoAAB_NTnQBtqGZ7bNqFhAi1mAV27aA-ZQ5tOM,,Director Strategic Manufacturing Solutions
Dominik Esser,Senior Director/ Head of Manufacturing,Director,0,Celonic Group,560173,https://www.linkedin.com/in/ACoAACS53jMBqaJ_82Oz7oXK1YuzX2q7_1CWFCk,,Biopharma Professional/Senior Director
Francesca  Scarpitta,Production Director,Director,4,Cerbios-Pharma SA,307119,https://www.linkedin.com/in/ACoAAARGGnQBPI_Dyf_ic3lazN2xHnYVjssA1Ds,,Production Director at Cerbios-Pharma SA
Anabeth Tomalis,Swim Instructor,Entry Level,2,Chapel Hill Student,8062318,https://www.linkedin.com/in/ACoAAE5qaYQB20jXHseR-ifg7fTLgMKODPEXvGg,,University of North Carolina at Chapel Hill Student | Double Major in Business and Sports Administration | Minor in Span
Laurent Claisse,President & CEO,CXO,1,Clean Biologics,51121962,https://www.linkedin.com/in/ACoAAAIzky8BmdGpsCaCgo5o0bCoGzpt7kuOuaM,,President & CEO at Clean Biologics
Vu Trung Kien,General Manager,Director,16,Climate Change Resilience Centre,,https://www.linkedin.com/in/ACoAABENoEwB8xmy4AWkSEAueddECQFpClpmPk0,,General Manager at Climate Change Resilience Centre
Egor Y.,"Co-Founder, CTO",CXO,2,Cloud Zeta,,https://www.linkedin.com/in/ACoAAAgMqOkBRf5R8NHNra6JfcHhDD0wiK8UqJ4,,"Co-Founder at Cloud Zeta, Founder at Diligent Graphics | previously: Magic Leap, Google, Microsoft, Intel"
Giulietta Roël,Executive Director Manufacturing,Director,2,CO.DON / Tetec / B. Braun cell therapy,17921992,https://www.linkedin.com/in/ACoAABsgX2sBTAso0D5AoV_WMlG0iPqm40DBdAw,,Executive Director Manufacturing - CO.DON GmbH
Sven Hauptmann,Chief Operations Officer Drug Product,CXO,1,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAAFdtxEB2grIRq-0vM8o5x7jgjC6QiTBSQM,,Experienced Technical Operations Leader passionate about bringing great people together and delivering great results.
Ana Calado,Technical Operations Director,Director,0,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAAkpAEUBJqwuaZGXk5rB-RuhttcZczBBkeI,,"Production Director, Technical Operations Director, PMO, Quality Manager, R&D and Regulatory Affairs Manager"
Dr Oliver Schinzinger,Head of Pharmaceutical Development,Director,9,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAAl7vCsBiyq-S2aX87jh3sKktcVKatPoHQo,,Head of Pharmaceutical Development
Brian McCudden,Global Head of Peptide Operations,Director,2,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAAHlYiIBLL2RPL5HcDxU4Uv38g5hK3ZBU1k,,Global Head of Peptide Operations
Martin Hagen,Head of Manufacturing and Operations,Director,6,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAABFn7AkBcuGMgfOn5hISs_ZRX70lgQ1KOuI,,Head of Manufacturing and Operations bei Corden Pharma - A Full-Service CDMO
Kim Geib,Head of Engineering,Director,2,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAERXg_gBDu8HeGjsmmUC4xwb-NlVBNa2qD4,,"Head of Engineering & Deputy Head of Tech Ops
 bei Corden Pharma - A Full-Service CDMO"
Michael Graf,Head of Engineering & Maintenance,Director,2,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAADRPz64B6hIRUjB4kN5lrOnAJklK9o68gvc,,Engineering & Maintenance (@Life Science)
"Christian Kleemann, MBA",Head of Technical Operations,Director,1,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAADJwha4BbO20agCmCZf-1nCrRxU36fq7rQc,,Experienced Plant & Project Manager
Torben Christof,Teamlead and Deputy Head of Manufacturing Formulation Development,Director,3,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAACKrSUsBhfKCI12rCI1fEcOMOIVyn4UDBqM,,Teamlead and Deputy Head of manufacturing Formulation Development bei Corden Pharma
Dr. Tobias Schönberg,"Head of Site Quality and Compliance, Qualified Person",Director,2,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAD9VvmUBhd65eNNRCTg_L5lrBUEzkfca-z8,,"Head of Site Quality and Compliance, Qualified Person"
Sabine Frutiger,Head of Production,Director,0,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAA4MzJUB6BNjerYoEmsDgoJyeye3vyVfXQc,,Head of Production
Joel Vannieuwenhove,Head of Operations,Director,3,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAB10jTsB9DIn0tPGeSlj44VqqiaHAplMpy0,,Head of Operations
Charles Tucker,"Director, Manufacturing, Science & Technology",Director,10,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAAEyVZUBodJGhqF7H49wgLYt6t19k3OvWag,,"Director, Development at Corden Pharma Colorado"
Theresa J. Heimes,Head of Manufacturing Formulation Development,Director,4,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAACRg0k0BmDmckUbpvtdM4ew4dIjhecu74V8,,Head of Manufacturing Formulation Development
Onur Ceylan,Deputy Head of Veterinary Production,Director,4,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAACC2uXsB30H9-nrWoG_7S37LRhr7c4dJFls,,"Innovation leben, Qualität sichern, Gesundheit gestalten."
Serra Gürcan,"Associate Platform Director, Lipid & Nanomedicine Manufacturing Services, including LNPs.",Director,1,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAC02kVEBW558WtMHtO0pY0urrv3QFYyxsL4,,"PhD, Advancing mRNA delivery by LNP development & manufacturing, and lipid scale-up & manufacturing CDMO services"
Nicolas Gobet,Head of Drug Product Manufacturing,Director,1,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAAFaPigBjMhlM41X37URXuqAlGUhpzTNz5E,,Head of Drug Product Manufacturing
Patrick Wolff,Site Head CordenPharma Ettingen,Director,4,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAACBEugUBCF3Ubce_XDJ8ZYP_12FK3rqWt5k,,Site Head CordenPharma Ettingen
Karsten Meyenberg,Site Head - Frankfurt,Director,4,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAAjMhZsBoiOy-aZ_UYu_6nImRoeDRlEP_cI,,Site Head - Frankfurt | MD | Driving Innovation and Excellence in API Manufacturing
"Jonathan Dreiling, MSc",Head of Technical Operations,Director,0,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAABLfco0BvDV5seqUGRpCqm8H4pBnI7ZPrWw,,Head of Technical Operations Corden Pharma - A Full-Service CDMO
Christoph Blümer,"Head QM Bulk Manufacturing, Qualified Person",Director,5,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAAFQCEgBsVMJdpird-tN8NECvzDAKJXek28,,"Head Quality Management Bulk Manufacturing, Qualified Person bei Corden Pharma - A Full-Service CDMO"
Andreas Schönhals,Head of Manufacturing (LdH) CTD 4 Formulation Development,Director,3,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAFR2CjoBuemrA4Z8BBGN_xcNi45m6hPnqQs,,Head of Manufacturing (LdH) Formulation Development bei Corden Pharma - A Full-Service CDMO
Nathalie Kolb,Head of Quality & Compliance | Site Quality Head,Director,1,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAEDXIuwBtSXlIrT45oMSCY4IQhMaphZpBxU,,Head of Quality & Compliance | Site Quality Head
Mario Kleinschmidt,"Associate Director, Operational Excellence Site Lead",Director,3,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAA1dUV0BBUmQPJZYgxMmyjV-SNGsl0OCwLw,,"Operational Excellence Manager (LEAN Six Sigma, Process Optimization); QA Manager (Pharma, Medical Device), cGMP Complia"
Massimo Fiori,Quality Operations Director,Director,0,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAAL7cJIBV8woVWbkXNT7eYWDK3PCzNxB8AU,,Quality Operations Director
Fabio Loguercio,Technical & Operations Director,Director,6,Corden Pharma - A Full-Service CDMO,1331758,https://www.linkedin.com/in/ACoAAAAiMHMBas-UYNEpq1CaWBy7e8-kwOvxcSs,,Site Director  Pharmaceutical Company
Iris M. Ziegler,Director Pharmaceutical Sciences and QbD,Director,9,Corden Pharma GmbH,,https://www.linkedin.com/in/ACoAAAIYF50BCm4e5YRJjmAmgqCctKgp7AAKd4Y,,"Director Development, Business Development & Production at Corden Pharma GmbH"
Jack Roh,General Manager,Director,0,Coriolis Pharma,1289842,https://www.linkedin.com/in/ACoAAC6oBFIB0NHF_NbcPM7QJTTG9GDwnPu9Bps,,Coriolis Pharma General Manager
Michaela Breitsamer,Head of US Operations and Site Development,Director,0,Coriolis Pharma,1289842,https://www.linkedin.com/in/ACoAACorsnwBINgINtcCz5WAA1RB4plAINtIeRs,,Head of US Operations and Site Development bei Coriolis Pharma
Kevin Huang,General Manager of China VFK,Director,2,CSL Vifor,263528,https://www.linkedin.com/in/ACoAAAvQT-UB941HJXumh4sh3aKh_C5DebqSuYU,,"General Manager of China VFK, CSL Vifor"
Timur Ladygin,General Manager,Director,6,CSL Vifor,263528,https://www.linkedin.com/in/ACoAAAvSg5oB9xP3XyU_UAeNsC41VoadiIyle_Q,,Selling Excellence Ops Lead
Kate Nunn,Deputy Site Head & Facilities Lead Switzerland,Director,4,CSL Vifor,263528,https://www.linkedin.com/in/ACoAAAwETUIBRq_Gn8GZ2BcJeXP0NN8jGYbUpHk,,Site Head Glattbrugg  & Facilities Lead Switzerland at CSL Vifor
Steve Allan,General Manager,Director,1,CSL Vifor,263528,https://www.linkedin.com/in/ACoAAALaR_YB5WdCkCdOc5nDqzH4o56ThkCjQ2M,,"General Manager at CSL, UK & Ireland"
Sven Knapinski,Director Site Partnerships,Director,2,CSL Vifor,263528,https://www.linkedin.com/in/ACoAABFvy78BQ7629rVlUcik-VzVONdwrY_mDNs,,Director Site Partnerships at CSL Vifor
Burkhard Kriwet,Head of Pharmaceutical Development,Director,4,CSL Vifor,263528,https://www.linkedin.com/in/ACoAAAfUnNABnZVMgrzOKhPLyTD_SJhDCmGVKLM,,Head of Pharmaceutical Development at CSL Vifor
Davide De Ferrari,Head of Supply Operations and Services,Director,3,CSL Vifor,263528,https://www.linkedin.com/in/ACoAAAAxTFkBMJMCz5hifPGzrw5r4uadHZiwcss,,Head of Supply Operations and Services
Lucinda Struch,"HR Director, HRBP TechOps, HR Site Lead",Director,2,CSL Vifor,263528,https://www.linkedin.com/in/ACoAAAuo7fQBC66Pc3Ygq7_xHV5Bex9Zb6SZD5k,,"HR Director, HRBP TechOps, HR Site Lead"
"Charis Giannoulis, MBA",Head of International Market Operations,Director,4,CSL Vifor,263528,https://www.linkedin.com/in/ACoAAAGdP5ABQrCXx4-PSTq59Dv9RX5OFAVtrOg,,"Global Pharma Executive | Commercial Excellence & Transformation | Strategy, Ops & Analytics |   Innovation | Team Build"
Jorge Parodi,General Manager,Director,9,CSL Vifor,263528,https://www.linkedin.com/in/ACoAAAAbV5oB5_QxNyA513-WHabe_Ms7Vi7QAt0,,Former CEO of Vifor/OM Pharma Perú | Director ALAFARPE | Coach-Mentor | Investor
Theo Nieuwenhuis,General Manager Benelux at CSL Vifor,Director,3,CSL Vifor,263528,https://www.linkedin.com/in/ACoAAAA0dKoBi-2lZzS_y1z-G5LdPd2E8-wF4XY,,General Manager Benelux at CSL Vifor
Ruth González Subils,General Manager Assistant,Director,7,CSL Vifor,263528,https://www.linkedin.com/in/ACoAABrg7IgB7lNLuPt3pLJFSadIwyAIBux3wiU,,Executive Assistant
Emilie Kwiatkowski,"Head of Customer Operations and Demand Management, Associate Director",Director,2,CSL Vifor,263528,https://www.linkedin.com/in/ACoAAA4lWeoBxeZx5DijK3LLQGZpQp-KZrh6GUI,,Supply Chain Enthusiast | Customer-Centric Operations | Global Reach
alain winling,Head Quality Operations Drug Products and External API’s,Director,1,CSL Vifor,263528,https://www.linkedin.com/in/ACoAACjz0hgBxpP9rs8NluNLlqtnRz-SMdisW5Y,,Head Quality Operations Drug Products and external API
Anastasia M.,Head QA Operations Manufacturing Science,Director,1,CSL Vifor,263528,https://www.linkedin.com/in/ACoAAAoWuzIBCo7rUP9g3MxZ7Az5bqwSy93KQ8k,,Head QA Operations Manufacturing Science
Manfred Treitz,Head Quality Operations Oral Products,Director,4,CSL Vifor,263528,https://www.linkedin.com/in/ACoAACNU4mIBoFosvHgh3c0ZD-pCon4kzP1wR_w,,Head Quality Operations Oral Products bei Vifor Pharma
Houman Mesghali,Co-Founder and COO,CXO,4,CTMC,81619341,https://www.linkedin.com/in/ACoAAAD1e50B73wcIhVht2kavOG3Tnv1MXwJf28,,Co-founder and COO at CTMC - A joint venture between Resilience and MD Anderson Cancer Center
Dr. Sandra C. Wullich,Strategy & Program Realization Manager (COO),CXO,1,CureVac,806783,https://www.linkedin.com/in/ACoAACyC1LwBYce6PfP8NEsyMNQOrt-saCbsWAM,,Strategy & Program Realization Manager (COO) | PhD Applied Microbiology/Biotechnology | IPMA® Level D
Olivier Jarry,Head of QA External Manufacturing/CMO,CXO,3,CureVac,806783,https://www.linkedin.com/in/ACoAAAKv7vgBZPNE2GiuE6r8R6GqtbKLxHtyO_g,,Head of QA External Manufacturing at Curevac
Lisa Müller,Executive Assistant to COO,CXO,1,CureVac,806783,https://www.linkedin.com/in/ACoAADEYoj4BnSyFgh_FKpJpNO2QWgec6_sf5as,,Project Coordinator at CureVac | M.Sc. in Molecular Nutrition Science
Lavinia Kästner,Project Manager Operations and Assistant to VP Technical Development,Vice President,2,CureVac,806783,https://www.linkedin.com/in/ACoAACZEGz8B5cbJyPyPpFFi4T7wDtUhB8lAwyU,,Project Manager
Dr. Yvonne Gebhardt,VP Manufacturing,Vice President,2,CureVac,806783,https://www.linkedin.com/in/ACoAAB7gtgkBqacdxcPjbTOvFb93Z22d4ry_8OA,,--
James Houston,Sr Director IT Infrastructure and Operations,Director,2,CureVac,806783,https://www.linkedin.com/in/ACoAAAEsZO4BejsRFd5z8BrzdNGU-74t4_PGQY8,,Information Technology Leader
Stefan Schaefer,Head of Engineering & Facility,Director,1,CureVac,806783,https://www.linkedin.com/in/ACoAAA9rA9kBdm-emGG8t9y7BfeP-DKz4U3Noh0,,Engineer with Business Administration
Ulrich Zerbini,Associate Director Asset & Facility Management,Director,3,CureVac,806783,https://www.linkedin.com/in/ACoAAAf162cBoWmw2o3qNHDlxo5XN67XIFyGA1s,,Projektmanagement
Andaluri Srikanth,Associate Director Supply Chain Operations,Director,2,CureVac,806783,https://www.linkedin.com/in/ACoAAAUzmwwBW9JsWRFRr1ScKgM6697RH-BMGqE,,"Leader in Supply Chain Management, CPIM"
Georg M Sambeth,Director Scalable Manufacturing,Director,1,CureVac,806783,https://www.linkedin.com/in/ACoAAC9j5jMBiPGTJrxMvCZjgPRrmSdkjCL4P7Y,,Director Scalable Manufacturing at CureVac
Marcus Cano,Head of Business Development Operations,Director,1,CureVac,806783,https://www.linkedin.com/in/ACoAAAJww1AB44CSmAPNoCnu60xVLgpcJ92qv_g,,Head of Business Development Operations @ CureVac | PMP
